frame.number,frame.time_relative,wlan.ta,wlan.ra
29,0.281221000,00:00:00:00:00:08,00:00:00:00:00:03
44,0.290301000,00:00:00:00:00:08,00:00:00:00:00:05
76,0.311833000,00:00:00:00:00:08,00:00:00:00:00:05
89,0.320232000,00:00:00:00:00:08,00:00:00:00:00:03
113,0.519193000,00:00:00:00:00:08,00:00:00:00:00:0c
177,0.786710000,00:00:00:00:00:08,00:00:00:00:00:05
193,0.791851000,00:00:00:00:00:08,00:00:00:00:00:03
290,1.285440000,00:00:00:00:00:08,00:00:00:00:00:04
294,1.286550000,00:00:00:00:00:08,00:00:00:00:00:04
328,1.303618000,00:00:00:00:00:08,00:00:00:00:00:03
333,1.311864000,00:00:00:00:00:08,00:00:00:00:00:04
344,1.323564000,00:00:00:00:00:08,00:00:00:00:00:0c
351,1.470647000,00:00:00:00:00:08,00:00:00:00:00:0c
357,1.472922000,00:00:00:00:00:08,00:00:00:00:00:0c
363,1.475417000,00:00:00:00:00:08,00:00:00:00:00:0c
444,2.471347000,00:00:00:00:00:08,00:00:00:00:00:0c
450,2.473742000,00:00:00:00:00:08,00:00:00:00:00:0c
453,2.659020000,00:00:00:00:00:08,00:00:00:00:00:05
461,2.661024000,00:00:00:00:00:08,00:00:00:00:00:0c
467,2.695901000,00:00:00:00:00:08,00:00:00:00:00:0c
501,2.742630000,00:00:00:00:00:08,00:00:00:00:00:05
505,2.744136000,00:00:00:00:00:08,00:00:00:00:00:0c
533,3.471844000,00:00:00:00:00:08,00:00:00:00:00:0c
539,3.474301000,00:00:00:00:00:08,00:00:00:00:00:0c
541,3.475600000,00:00:00:00:00:08,00:00:00:00:00:0c
583,4.470806000,00:00:00:00:00:08,00:00:00:00:00:0c
593,4.474341000,00:00:00:00:00:08,00:00:00:00:00:0c
595,4.475800000,00:00:00:00:00:08,00:00:00:00:00:0c
636,5.470687000,00:00:00:00:00:08,00:00:00:00:00:0c
646,5.473980000,00:00:00:00:00:08,00:00:00:00:00:0c
648,5.475459000,00:00:00:00:00:08,00:00:00:00:00:0c
699,6.474555000,00:00:00:00:00:08,00:00:00:00:00:0c
701,6.475854000,00:00:00:00:00:08,00:00:00:00:00:0c
703,6.477373000,00:00:00:00:00:08,00:00:00:00:00:0c
752,7.473483000,00:00:00:00:00:08,00:00:00:00:00:0c
754,7.474882000,00:00:00:00:00:08,00:00:00:00:00:0c
756,7.476021000,00:00:00:00:00:08,00:00:00:00:00:0c
798,8.471127000,00:00:00:00:00:08,00:00:00:00:00:0c
808,8.474960000,00:00:00:00:00:08,00:00:00:00:00:0c
810,8.476539000,00:00:00:00:00:08,00:00:00:00:00:0c
855,9.471965000,00:00:00:00:00:08,00:00:00:00:00:0c
857,9.472984000,00:00:00:00:00:08,00:00:00:00:00:0c
863,9.475419000,00:00:00:00:00:08,00:00:00:00:00:0c
910,10.472024000,00:00:00:00:00:08,00:00:00:00:00:0c
916,10.474221000,00:00:00:00:00:08,00:00:00:00:00:0c
918,10.475380000,00:00:00:00:00:08,00:00:00:00:00:0c
960,11.471638000,00:00:00:00:00:08,00:00:00:00:00:0c
966,11.474494000,00:00:00:00:00:08,00:00:00:00:00:0c
972,11.478070000,00:00:00:00:00:08,00:00:00:00:00:0c
1014,12.471026000,00:00:00:00:00:08,00:00:00:00:00:0c
1024,12.474581000,00:00:00:00:00:08,00:00:00:00:00:0c
1026,12.476120000,00:00:00:00:00:08,00:00:00:00:00:0c
1075,13.473564000,00:00:00:00:00:08,00:00:00:00:00:0c
1081,13.476980000,00:00:00:00:00:08,00:00:00:00:00:0c
1122,14.470487000,00:00:00:00:00:08,00:00:00:00:00:0c
1128,14.473023000,00:00:00:00:00:08,00:00:00:00:00:0c
1134,14.475478000,00:00:00:00:00:08,00:00:00:00:00:0c
1183,15.474640000,00:00:00:00:00:08,00:00:00:00:00:0c
1189,15.477255000,00:00:00:00:00:08,00:00:00:00:00:0c
1231,16.470606000,00:00:00:00:00:08,00:00:00:00:00:0c
1241,16.474801000,00:00:00:00:00:08,00:00:00:00:00:0c
1243,16.476360000,00:00:00:00:00:08,00:00:00:00:00:0c
1292,17.472763000,00:00:00:00:00:08,00:00:00:00:00:0c
1294,17.474242000,00:00:00:00:00:08,00:00:00:00:00:0c
1296,17.475661000,00:00:00:00:00:08,00:00:00:00:00:0c
1342,18.472345000,00:00:00:00:00:08,00:00:00:00:00:0c
1348,18.474741000,00:00:00:00:00:08,00:00:00:00:00:0c
1350,18.476240000,00:00:00:00:00:08,00:00:00:00:00:0c
1399,19.473343000,00:00:00:00:00:08,00:00:00:00:00:0c
