frame.number,frame.time_relative,wlan.ta,wlan.ra
63980,378.913352000,00:00:00:00:00:08,00:00:00:00:00:21
63981,378.914089000,00:00:00:00:00:08,00:00:00:00:00:21
63990,378.919153000,00:00:00:00:00:08,00:00:00:00:00:2f
63999,378.929983000,00:00:00:00:00:08,00:00:00:00:00:2f
64013,378.943913000,00:00:00:00:00:08,00:00:00:00:00:21
64020,378.950339000,00:00:00:00:00:08,00:00:00:00:00:21
64047,379.020777000,00:00:00:00:00:08,00:00:00:00:00:21
64056,379.034899000,00:00:00:00:00:08,00:00:00:00:00:21
64077,379.079339000,00:00:00:00:00:08,00:00:00:00:00:21
64089,379.090918000,00:00:00:00:00:08,00:00:00:00:00:21
64124,379.184399000,00:00:00:00:00:08,00:00:00:00:00:21
64135,379.201039000,00:00:00:00:00:08,00:00:00:00:00:21
64143,379.213179000,00:00:00:00:00:08,00:00:00:00:00:21
64150,379.221439000,00:00:00:00:00:08,00:00:00:00:00:21
64172,379.279331000,00:00:00:00:00:08,00:00:00:00:00:21
64184,379.300199000,00:00:00:00:00:08,00:00:00:00:00:21
64206,379.365539000,00:00:00:00:00:08,00:00:00:00:00:21
64214,379.378640000,00:00:00:00:00:08,00:00:00:00:00:21
64237,379.432458000,00:00:00:00:00:08,00:00:00:00:00:21
64244,379.443379000,00:00:00:00:00:08,00:00:00:00:00:21
64259,379.478139000,00:00:00:00:00:08,00:00:00:00:00:21
64270,379.498419000,00:00:00:00:00:08,00:00:00:00:00:21
64288,379.534826000,00:00:00:00:00:08,00:00:00:00:00:21
64295,379.541539000,00:00:00:00:00:08,00:00:00:00:00:21
64317,379.592439000,00:00:00:00:00:08,00:00:00:00:00:21
64325,379.601039000,00:00:00:00:00:08,00:00:00:00:00:21
64335,379.627979000,00:00:00:00:00:08,00:00:00:00:00:21
64345,379.644723000,00:00:00:00:00:08,00:00:00:00:00:21
64358,379.671697000,00:00:00:00:00:08,00:00:00:00:00:21
64367,379.687746000,00:00:00:00:00:08,00:00:00:00:00:21
64394,379.753999000,00:00:00:00:00:08,00:00:00:00:00:21
64401,379.758917000,00:00:00:00:00:08,00:00:00:00:00:21
64409,379.769559000,00:00:00:00:00:08,00:00:00:00:00:21
64421,379.789979000,00:00:00:00:00:08,00:00:00:00:00:21
64436,379.824353000,00:00:00:00:00:08,00:00:00:00:00:21
64554,380.201059000,00:00:00:00:00:08,00:00:00:00:00:21
64869,381.201320000,00:00:00:00:00:08,00:00:00:00:00:21
65199,382.201200000,00:00:00:00:00:08,00:00:00:00:00:21
65525,383.201369000,00:00:00:00:00:08,00:00:00:00:00:21
65908,384.201540000,00:00:00:00:00:08,00:00:00:00:00:21
66241,385.201460000,00:00:00:00:00:08,00:00:00:00:00:21
66881,387.201460000,00:00:00:00:00:08,00:00:00:00:00:21
